time,open,high,low,close,tick_volume,spread,real_volume
2011-01-03 02:00:00,1415.71,1416.54,1415.1,1415.63,1035,0,0
2011-01-03 03:00:00,1415.64,1416.43,1414.9,1415.98,736,0,0
2011-01-03 04:00:00,1415.95,1417.89,1414.59,1416.54,922,0,0
2011-01-03 05:00:00,1416.51,1418.64,1415.25,1416.75,1060,0,0
2011-01-03 06:00:00,1416.76,1420.0,1416.76,1419.48,838,0,0
2011-01-03 07:00:00,1419.47,1420.2,1418.28,1419.21,977,0,0
2011-01-03 08:00:00,1419.2,1419.45,1417.49,1418.08,1378,0,0
2011-01-03 09:00:00,1418.09,1419.24,1416.95,1419.2,1447,0,0
2011-01-03 10:00:00,1419.09,1419.43,1417.9,1419.27,1355,0,0
2011-01-03 11:00:00,1419.23,1420.89,1418.75,1419.67,1606,0,0
2011-01-03 12:00:00,1419.65,1420.33,1418.8,1420.12,1231,0,0
2011-01-03 13:00:00,1420.01,1423.03,1419.25,1422.47,1854,0,0
2011-01-03 14:00:00,1422.5,1423.77,1417.1,1419.62,3369,0,0
2011-01-03 15:00:00,1419.58,1423.38,1417.89,1421.17,3181,0,0
2011-01-03 16:00:00,1421.13,1421.89,1415.67,1418.54,3484,0,0
2011-01-03 17:00:00,1418.5,1420.32,1417.26,1417.87,2648,0,0
2011-01-03 18:00:00,1417.88,1420.93,1417.03,1419.72,1932,0,0
2011-01-03 19:00:00,1419.78,1422.67,1419.77,1420.07,1908,0,0
2011-01-03 20:00:00,1420.08,1420.1,1415.06,1415.54,2174,0,0
2011-01-03 21:00:00,1415.51,1416.01,1412.9,1413.85,1640,0,0
2011-01-03 22:00:00,1413.81,1414.61,1413.53,1414.54,772,0,0
2011-01-04 02:00:00,1415.88,1415.94,1413.56,1414.41,1198,0,0
2011-01-04 03:00:00,1414.38,1414.78,1413.81,1414.72,911,0,0
2011-01-04 04:00:00,1414.71,1416.76,1414.55,1416.36,719,0,0
2011-01-04 05:00:00,1416.28,1416.66,1415.5,1415.78,1216,0,0
2011-01-04 06:00:00,1415.85,1417.04,1415.6,1416.42,1278,0,0
2011-01-04 07:00:00,1416.6,1416.65,1413.55,1414.37,1111,0,0
2011-01-04 08:00:00,1414.4,1415.58,1413.73,1414.27,1431,0,0
2011-01-04 09:00:00,1414.25,1414.26,1407.77,1408.9,2196,0,0
2011-01-04 10:00:00,1409.05,1410.43,1406.0,1406.28,2288,0,0
2011-01-04 11:00:00,1406.27,1407.57,1404.23,1407.24,2345,0,0
2011-01-04 12:00:00,1407.26,1408.74,1405.83,1407.42,1974,0,0
2011-01-04 13:00:00,1407.4,1408.81,1406.95,1408.38,1831,0,0
2011-01-04 14:00:00,1408.4,1408.87,1393.0,1395.3,3869,0,0
2011-01-04 15:00:00,1395.33,1397.1,1385.37,1387.66,3990,0,0
2011-01-04 16:00:00,1387.64,1388.98,1381.63,1382.92,4405,0,0
2011-01-04 17:00:00,1382.95,1385.64,1382.54,1384.64,3066,0,0
2011-01-04 18:00:00,1384.71,1385.57,1374.8,1376.25,3885,0,0
2011-01-04 19:00:00,1376.3,1379.51,1376.3,1377.2,3033,0,0
2011-01-04 20:00:00,1377.16,1381.33,1376.67,1380.29,2231,0,0
2011-01-04 21:00:00,1380.31,1381.58,1379.99,1380.54,1475,0,0
2011-01-04 22:00:00,1380.53,1380.75,1379.91,1380.3,814,0,0
2011-01-05 02:00:00,1384.36,1384.45,1378.86,1378.9,2087,0,0
2011-01-05 03:00:00,1378.89,1382.71,1377.32,1380.15,1864,0,0
2011-01-05 04:00:00,1380.1,1383.6,1380.08,1382.87,1982,0,0
2011-01-05 05:00:00,1382.88,1384.05,1382.21,1383.39,1948,0,0
2011-01-05 06:00:00,1383.35,1384.48,1382.38,1383.41,1496,0,0
2011-01-05 07:00:00,1383.25,1383.55,1382.6,1382.87,1160,0,0
2011-01-05 08:00:00,1382.88,1384.58,1380.61,1383.74,1952,0,0
2011-01-05 09:00:00,1383.73,1384.31,1380.66,1381.61,2320,0,0
2011-01-05 10:00:00,1381.63,1384.17,1381.25,1384.06,2071,0,0
2011-01-05 11:00:00,1384.1,1384.21,1377.84,1378.74,2960,0,0
2011-01-05 12:00:00,1378.8,1380.59,1377.97,1379.41,2443,0,0
2011-01-05 13:00:00,1379.55,1381.85,1375.71,1376.79,2674,0,0
2011-01-05 14:00:00,1376.81,1378.91,1373.0,1376.08,3430,0,0
2011-01-05 15:00:00,1376.13,1377.56,1363.9,1366.69,4659,0,0
2011-01-05 16:00:00,1366.73,1371.54,1365.59,1369.73,3382,0,0
2011-01-05 17:00:00,1369.75,1375.83,1369.48,1372.53,3746,0,0
2011-01-05 18:00:00,1372.52,1379.15,1372.4,1376.33,3168,0,0
2011-01-05 19:00:00,1376.34,1376.97,1372.31,1374.53,2772,0,0
2011-01-05 20:00:00,1374.5,1374.61,1371.15,1373.4,1835,0,0
2011-01-05 21:00:00,1373.45,1377.23,1372.81,1376.6,1765,0,0
2011-01-05 22:00:00,1376.61,1378.21,1376.17,1377.98,797,0,0
2011-01-06 02:00:00,1374.82,1376.33,1374.49,1374.85,1435,0,0
2011-01-06 03:00:00,1374.83,1375.9,1374.8,1375.16,871,0,0
2011-01-06 04:00:00,1375.16,1376.76,1375.16,1376.12,1167,0,0
2011-01-06 05:00:00,1376.13,1376.13,1374.07,1374.1,1421,0,0
2011-01-06 06:00:00,1373.95,1377.14,1373.95,1376.93,1153,0,0
2011-01-06 07:00:00,1376.93,1377.0,1375.53,1376.21,1097,0,0
2011-01-06 08:00:00,1376.23,1379.64,1375.9,1377.29,1784,0,0
2011-01-06 09:00:00,1377.28,1377.6,1374.5,1375.35,2465,0,0
2011-01-06 10:00:00,1375.32,1378.21,1374.9,1376.5,1580,0,0
2011-01-06 11:00:00,1376.63,1377.03,1372.42,1372.43,1558,0,0
2011-01-06 12:00:00,1372.11,1373.71,1371.54,1371.98,1739,0,0
2011-01-06 13:00:00,1371.97,1374.15,1369.56,1369.58,2483,0,0
2011-01-06 14:00:00,1369.67,1372.54,1367.17,1371.73,4149,0,0
2011-01-06 15:00:00,1371.83,1375.68,1367.74,1369.0,3947,0,0
2011-01-06 16:00:00,1368.99,1370.4,1365.29,1368.58,4219,0,0
2011-01-06 17:00:00,1368.46,1376.45,1364.72,1374.23,4175,0,0
2011-01-06 18:00:00,1374.2,1374.53,1371.22,1373.56,3252,0,0
2011-01-06 19:00:00,1373.55,1374.29,1370.48,1372.35,2704,0,0
2011-01-06 20:00:00,1372.31,1373.15,1370.66,1371.43,2010,0,0
